word_index,page,line,surah,ayah,pos_in_ayah,word_text,is_marker,,line
1,1,2,1,1,1,بِسۡمِ,0,0,2
2,1,2,1,1,2,ٱللَّهِ,0,0,2
3,1,2,1,1,3,ٱلرَّحۡمَٰنِ,0,0,2
4,1,2,1,1,4,ٱلرَّحِيمِ,0,0,2
5,1,2,1,1,5,١,1,0,2
6,1,3,1,2,1,ٱلۡحَمۡدُ,0,0,3
7,1,3,1,2,2,لِلَّهِ,0,0,3
8,1,3,1,2,3,رَبِّ,0,0,3
9,1,3,1,2,4,ٱلۡعَٰلَمِينَ,0,0,3
10,1,3,1,2,5,٢,1,0,3
11,1,4,1,3,1,ٱلرَّحۡمَٰنِ,0,0,4
12,1,4,1,3,2,ٱلرَّحِيمِ,0,0,4
13,1,4,1,3,3,٣,1,0,4
14,1,4,1,4,1,مَٰلِكِ,0,0,4
15,1,4,1,4,2,يَوۡمِ,0,0,4
16,1,4,1,4,3,ٱلدِّينِ,0,0,4
17,1,4,1,4,4,٤,1,0,4
18,1,5,1,5,1,إِيَّاكَ,0,0,5
19,1,5,1,5,2,نَعۡبُدُ,0,0,5
20,1,5,1,5,3,وَإِيَّاكَ,0,0,5
21,1,5,1,5,4,نَسۡتَعِينُ,0,0,5
22,1,5,1,5,5,٥,1,0,5
23,1,5,1,6,1,ٱهۡدِنَا,0,0,5
24,1,6,1,6,2,ٱلصِّرَٰطَ,0,0,6
25,1,6,1,6,3,ٱلۡمُسۡتَقِيمَ,0,0,6
26,1,6,1,6,4,٦,1,0,6
27,1,6,1,7,1,صِرَٰطَ,0,0,6
28,1,6,1,7,2,ٱلَّذِينَ,0,0,6
29,1,6,1,7,3,أَنۡعَمۡتَ,0,0,6
30,1,7,1,7,4,عَلَيۡهِمۡ,0,0,7
31,1,7,1,7,5,غَيۡرِ,0,0,7
32,1,7,1,7,6,ٱلۡمَغۡضُوبِ,0,0,7
33,1,7,1,7,7,عَلَيۡهِمۡ,0,0,7
34,1,8,1,7,8,وَلَا,0,0,8
35,1,8,1,7,9,ٱلضَّآلِّينَ,0,0,8
36,1,8,1,7,10,٧,1,0,8
37,2,3,2,1,1,الٓمٓ,0,0,3
38,2,3,2,1,2,١,1,0,3
39,2,3,2,2,1,ذَٰلِكَ,0,0,3
40,2,3,2,2,2,ٱلۡكِتَٰبُ,0,0,3
41,2,3,2,2,3,لَا,0,0,3
42,2,3,2,2,4,رَيۡبَۛ,0,0,3
43,2,3,2,2,5,فِيهِۛ,0,0,3
44,2,3,2,2,6,هُدٗى,0,0,3
45,2,4,2,2,7,لِّلۡمُتَّقِينَ,0,0,4
46,2,4,2,2,8,٢,1,0,4
47,2,4,2,3,1,ٱلَّذِينَ,0,0,4
48,2,4,2,3,2,يُؤۡمِنُونَ,0,0,4
49,2,4,2,3,3,بِٱلۡغَيۡبِ,0,0,4
50,2,4,2,3,4,وَيُقِيمُونَ,0,0,4
51,2,4,2,3,5,ٱلصَّلَوٰةَ,0,0,4
52,2,5,2,3,6,وَمِمَّا,0,0,5
53,2,5,2,3,7,رَزَقۡنَٰهُمۡ,0,0,5
54,2,5,2,3,8,يُنفِقُونَ,0,0,5
55,2,5,2,3,9,٣,1,0,5
56,2,5,2,4,1,وَٱلَّذِينَ,0,0,5
57,2,5,2,4,2,يُؤۡمِنُونَ,0,0,5
58,2,5,2,4,3,بِمَآ,0,0,5
59,2,5,2,4,4,أُنزِلَ,0,0,5
60,2,6,2,4,5,إِلَيۡكَ,0,0,6
61,2,6,2,4,6,وَمَآ,0,0,6
62,2,6,2,4,7,أُنزِلَ,0,0,6
63,2,6,2,4,8,مِن,0,0,6
64,2,6,2,4,9,قَبۡلِكَ,0,0,6
65,2,6,2,4,10,وَبِٱلۡأٓخِرَةِ,0,0,6
66,2,6,2,4,11,هُمۡ,0,0,6
67,2,6,2,4,12,يُوقِنُونَ,0,0,6
68,2,6,2,4,13,٤,1,0,6
69,2,7,2,5,1,أُوْلَٰٓئِكَ,0,0,7
70,2,7,2,5,2,عَلَىٰ,0,0,7
71,2,7,2,5,3,هُدٗى,0,0,7
72,2,7,2,5,4,مِّن,0,0,7
73,2,7,2,5,5,رَّبِّهِمۡۖ,0,0,7
74,2,7,2,5,6,وَأُوْلَٰٓئِكَ,0,0,7
75,2,8,2,5,7,هُمُ,0,0,8
76,2,8,2,5,8,ٱلۡمُفۡلِحُونَ,0,0,8
77,2,8,2,5,9,٥,1,0,8
78,3,1,2,6,1,إِنَّ,0,0,1
79,3,1,2,6,2,ٱلَّذِينَ,0,0,1
80,3,1,2,6,3,كَفَرُواْ,0,0,1
81,3,1,2,6,4,سَوَآءٌ,0,0,1
82,3,1,2,6,5,عَلَيۡهِمۡ,0,0,1
83,3,1,2,6,6,ءَأَنذَرۡتَهُمۡ,0,0,1
84,3,1,2,6,7,أَمۡ,0,0,1
85,3,1,2,6,8,لَمۡ,0,0,1
