pageNumber,lineNumber,position,surahId,ayahNo,isVerseEnd,text
1,2,1,1,1,false,بِسۡمِ
1,2,2,1,1,false,ٱللَّهِ
1,2,3,1,1,false,ٱلرَّحۡمَٰنِ
1,2,4,1,1,false,ٱلرَّحِيمِ
1,2,5,1,1,true,١
1,3,1,1,2,false,ٱلۡحَمۡدُ
1,3,2,1,2,false,لِلَّهِ
1,3,3,1,2,false,رَبِّ
1,3,4,1,2,false,ٱلۡعَٰلَمِينَ
1,3,5,1,2,true,٢
1,4,1,1,3,false,ٱلرَّحۡمَٰنِ
1,4,2,1,3,false,ٱلرَّحِيمِ
1,4,3,1,3,true,٣
1,4,4,1,4,false,مَٰلِكِ
1,4,5,1,4,false,يَوۡمِ
1,4,6,1,4,false,ٱلدِّينِ
1,4,7,1,4,true,٤
1,5,1,1,5,false,إِيَّاكَ
1,5,2,1,5,false,نَعۡبُدُ
1,5,3,1,5,false,وَإِيَّاكَ
1,5,4,1,5,false,نَسۡتَعِينُ
1,5,5,1,5,true,٥
1,5,6,1,6,false,ٱهۡدِنَا
1,6,1,1,6,false,ٱلصِّرَٰطَ
1,6,2,1,6,false,ٱلۡمُسۡتَقِيمَ
1,6,3,1,6,true,٦
1,6,4,1,7,false,صِرَٰطَ
1,6,5,1,7,false,ٱلَّذِينَ
1,6,6,1,7,false,أَنۡعَمۡتَ
1,7,1,1,7,false,عَلَيۡهِمۡ
1,7,2,1,7,false,غَيۡرِ
1,7,3,1,7,false,ٱلۡمَغۡضُوبِ
1,7,4,1,7,false,عَلَيۡهِمۡ
1,8,1,1,7,false,وَلَا
1,8,2,1,7,false,ٱلضَّآلِّينَ
1,8,3,1,7,true,٧
2,3,1,2,1,false,الٓمٓ
2,3,2,2,1,true,١
2,3,3,2,2,false,ذَٰلِكَ
2,3,4,2,2,false,ٱلۡكِتَٰبُ
2,3,5,2,2,false,لَا
2,3,6,2,2,false,رَيۡبَۛ
2,3,7,2,2,false,فِيهِۛ
2,3,8,2,2,false,هُدٗى
2,4,1,2,2,false,لِّلۡمُتَّقِينَ
2,4,2,2,2,true,٢
2,4,3,2,3,false,ٱلَّذِينَ
2,4,4,2,3,false,يُؤۡمِنُونَ
2,4,5,2,3,false,بِٱلۡغَيۡبِ
2,4,6,2,3,false,وَيُقِيمُونَ
2,4,7,2,3,false,ٱلصَّلَوٰةَ
2,5,1,2,3,false,وَمِمَّا
2,5,2,2,3,false,رَزَقۡنَٰهُمۡ
2,5,3,2,3,false,يُنفِقُونَ
2,5,4,2,3,true,٣
2,5,5,2,4,false,وَٱلَّذِينَ
2,5,6,2,4,false,يُؤۡمِنُونَ
2,5,7,2,4,false,بِمَآ
2,5,8,2,4,false,أُنزِلَ
2,6,1,2,4,false,إِلَيۡكَ
2,6,2,2,4,false,وَمَآ
2,6,3,2,4,false,أُنزِلَ
2,6,4,2,4,false,مِن
2,6,5,2,4,false,قَبۡلِكَ
2,6,6,2,4,false,وَبِٱلۡأٓخِرَةِ
2,6,7,2,4,false,هُمۡ
2,6,8,2,4,false,يُوقِنُونَ
2,6,9,2,4,true,٤
2,7,1,2,5,false,أُوْلَٰٓئِكَ
2,7,2,2,5,false,عَلَىٰ
2,7,3,2,5,false,هُدٗى
2,7,4,2,5,false,مِّن
2,7,5,2,5,false,رَّبِّهِمۡۖ
2,7,6,2,5,false,وَأُوْلَٰٓئِكَ
2,8,1,2,5,false,هُمُ
2,8,2,2,5,false,ٱلۡمُفۡلِحُونَ
2,8,3,2,5,true,٥
3,1,1,2,6,false,إِنَّ
3,1,2,2,6,false,ٱلَّذِينَ
3,1,3,2,6,false,كَفَرُواْ
3,1,4,2,6,false,سَوَآءٌ
3,1,5,2,6,false,عَلَيۡهِمۡ
3,1,6,2,6,false,ءَأَنذَرۡتَهُمۡ
3,1,7,2,6,false,أَمۡ
3,1,8,2,6,false,لَمۡ
3,1,9,2,6,false,تُنذِرۡهُمۡ
3,2,1,2,6,false,لَا
3,2,2,2,6,false,يُؤۡمِنُونَ
3,2,3,2,6,true,٦
3,2,4,2,7,false,خَتَمَ
3,2,5,2,7,false,ٱللَّهُ
3,2,6,2,7,false,عَلَىٰ
3,2,7,2,7,false,قُلُوبِهِمۡ
3,2,8,2,7,false,وَعَلَىٰ
3,2,9,2,7,false,سَمۡعِهِمۡۖ
3,2,10,2,7,false,وَعَلَىٰٓ
3,3,1,2,7,false,أَبۡصَٰرِهِمۡ
3,3,2,2,7,false,غِشَٰوَةٞۖ
3,3,3,2,7,false,وَلَهُمۡ
3,3,4,2,7,false,عَذَابٌ
3,3,5,2,7,false,عَظِيمٞ
3,3,6,2,7,true,٧
3,3,7,2,8,false,وَمِنَ
3,3,8,2,8,false,ٱلنَّاسِ
3,4,1,2,8,false,مَن
3,4,2,2,8,false,يَقُولُ
3,4,3,2,8,false,ءَامَنَّا
3,4,4,2,8,false,بِٱللَّهِ
3,4,5,2,8,false,وَبِٱلۡيَوۡمِ
3,4,6,2,8,false,ٱلۡأٓخِرِ
3,4,7,2,8,false,وَمَا
3,4,8,2,8,false,هُم
3,4,9,2,8,false,بِمُؤۡمِنِينَ
3,4,10,2,8,true,٨
3,5,1,2,9,false,يُخَٰدِعُونَ
3,5,2,2,9,false,ٱللَّهَ
3,5,3,2,9,false,وَٱلَّذِينَ
3,5,4,2,9,false,ءَامَنُواْ
3,5,5,2,9,false,وَمَا
3,5,6,2,9,false,يَخۡدَعُونَ
3,5,7,2,9,false,إِلَّآ
3,5,8,2,9,false,أَنفُسَهُمۡ
3,6,1,2,9,false,وَمَا
3,6,2,2,9,false,يَشۡعُرُونَ
3,6,3,2,9,true,٩
3,6,4,2,10,false,فِي
3,6,5,2,10,false,قُلُوبِهِم
3,6,6,2,10,false,مَّرَضٞ
3,6,7,2,10,false,فَزَادَهُمُ
3,6,8,2,10,false,ٱللَّهُ
3,6,9,2,10,false,مَرَضٗاۖ
3,7,1,2,10,false,وَلَهُمۡ
3,7,2,2,10,false,عَذَابٌ
3,7,3,2,10,false,أَلِيمُۢ
3,7,4,2,10,false,بِمَا
3,7,5,2,10,false,كَانُواْ
3,7,6,2,10,false,يَكۡذِبُونَ
3,7,7,2,10,true,١٠
3,7,8,2,11,false,وَإِذَا
3,7,9,2,11,false,قِيلَ
3,7,10,2,11,false,لَهُمۡ
3,8,1,2,11,false,لَا
3,8,2,2,11,false,تُفۡسِدُواْ
3,8,3,2,11,false,فِي
3,8,4,2,11,false,ٱلۡأَرۡضِ
3,8,5,2,11,false,قَالُوٓاْ
3,8,6,2,11,false,إِنَّمَا
3,8,7,2,11,false,نَحۡنُ
3,8,8,2,11,false,مُصۡلِحُونَ
3,8,9,2,11,true,١١
3,9,1,2,12,false,أَلَآ
3,9,2,2,12,false,إِنَّهُمۡ
3,9,3,2,12,false,هُمُ
3,9,4,2,12,false,ٱلۡمُفۡسِدُونَ
3,9,5,2,12,false,وَلَٰكِن
3,9,6,2,12,false,لَّا
3,9,7,2,12,false,يَشۡعُرُونَ
3,9,8,2,12,true,١٢
3,9,9,2,13,false,وَإِذَا
3,9,10,2,13,false,قِيلَ
3,10,1,2,13,false,لَهُمۡ
3,10,2,2,13,false,ءَامِنُواْ
3,10,3,2,13,false,كَمَآ
3,10,4,2,13,false,ءَامَنَ
3,10,5,2,13,false,ٱلنَّاسُ
3,10,6,2,13,false,قَالُوٓاْ
3,10,7,2,13,false,أَنُؤۡمِنُ
3,10,8,2,13,false,كَمَآ
3,10,9,2,13,false,ءَامَنَ
3,10,10,2,13,false,ٱلسُّفَهَآءُۗ
3,11,1,2,13,false,أَلَآ
3,11,2,2,13,false,إِنَّهُمۡ
3,11,3,2,13,false,هُمُ
3,11,4,2,13,false,ٱلسُّفَهَآءُ
3,11,5,2,13,false,وَلَٰكِن
3,11,6,2,13,false,لَّا
3,11,7,2,13,false,يَعۡلَمُونَ
3,11,8,2,13,true,١٣
3,11,9,2,14,false,وَإِذَا
3,11,10,2,14,false,لَقُواْ
3,12,1,2,14,false,ٱلَّذِينَ
3,12,2,2,14,false,ءَامَنُواْ
3,12,3,2,14,false,قَالُوٓاْ
3,12,4,2,14,false,ءَامَنَّا
3,12,5,2,14,false,وَإِذَا
3,12,6,2,14,false,خَلَوۡاْ
3,12,7,2,14,false,إِلَىٰ
3,12,8,2,14,false,شَيَٰطِينِهِمۡ
3,12,9,2,14,false,قَالُوٓاْ
3,12,10,2,14,false,إِنَّا
3,13,1,2,14,false,مَعَكُمۡ
3,13,2,2,14,false,إِنَّمَا
3,13,3,2,14,false,نَحۡنُ
